category	file	bytes	pages	sha256	text_file
03_sparse_inverse_graph_filters	2019_spakula_zhang_quasi_locality_property_a.pdf	267720	21	e2574a8747b40f4d6da03066dfcefef4b7bb85f668141d36abb94e18c734e439	03_sparse_inverse_graph_filters\2019_spakula_zhang_quasi_locality_property_a.txt
03_sparse_inverse_graph_filters	2020_emirov_cheng_jiang_sun_polynomial_inverse_graph_filter.pdf	2141237	33	87d64908adc87c52a2d8a724b37694c90407fb7a1efc0d693f40d071f446e992	03_sparse_inverse_graph_filters\2020_emirov_cheng_jiang_sun_polynomial_inverse_graph_filter.txt
03_sparse_inverse_graph_filters	2020_li_spakula_zhang_measured_asymptotic_expanders_roe.pdf	471518	38	a0430dbea04cf0f8163994fe7de9e130800a427d30da507414b4f69b686b2aec	03_sparse_inverse_graph_filters\2020_li_spakula_zhang_measured_asymptotic_expanders_roe.txt
03_sparse_inverse_graph_filters	2023_ozawa_matrix_embeddings_quasi_local_not_uniform_roe.pdf	161285	8	d4ac1e9626750e5116584bd4168dad859c4763ede2f1dc23ed06d2c67410a4c8	03_sparse_inverse_graph_filters\2023_ozawa_matrix_embeddings_quasi_local_not_uniform_roe.txt
03_sparse_inverse_graph_filters	2025_lu_wang_zhang_asymptotic_expansion_groupoids_roe.pdf	395744	35	ac141f2bd4c4467ab0a7595df87291c982a61c1b0fd56375842015b2f927e505	03_sparse_inverse_graph_filters\2025_lu_wang_zhang_asymptotic_expansion_groupoids_roe.txt
03_sparse_inverse_graph_filters	2026_li_zhang_zhu_k_theoretic_roe_quasi_local_projections.pdf	315377	37	9ed01d52d6899d8d54daffdad755d105af232ffe8c1b6d77ad7c3fcb167634ee	03_sparse_inverse_graph_filters\2026_li_zhang_zhu_k_theoretic_roe_quasi_local_projections.txt
04_distributed_linear_computation	2015_costello_egerstedt_global_linear_to_local_edge_rules.pdf	285914	6	4c69240ab4be2db8bede00717134865237d4d12f3c960265c822bb7cdc768a8b	04_distributed_linear_computation\2015_costello_egerstedt_global_linear_to_local_edge_rules.txt
04_distributed_linear_computation	2018_yang_et_al_distributed_least_squares_solver.pdf	772554	12	c70cf87d53653768e61e6f6dde55bfdcdd438af92ec3c0fdc0c1c013d849987b	04_distributed_linear_computation\2018_yang_et_al_distributed_least_squares_solver.txt
04_distributed_linear_computation	2020_gade_liu_vaidya_finite_time_linear_equations.pdf	441512	8	a64762a74c45e756e0ad523d5e67aad0783f25dab27f92490c59d6713144f1f8	04_distributed_linear_computation\2020_gade_liu_vaidya_finite_time_linear_equations.txt
04_distributed_linear_computation	2020_lei_peng_shi_anderson_finite_data_rates.pdf	1268121	32	96b5213a1aed7d0053631668e515bcb0d3e4d9cfb8e82b1bf28ce5359099acf2	04_distributed_linear_computation\2020_lei_peng_shi_anderson_finite_data_rates.txt
