witness,label,strong_conductance,physical_over_canonical,relative_radius_gap,port_block_operator_distance
2,3 blocks / 1 hidden,10,0.9176296760045656,0.0823703239954344,0.2095409784393188
2,3 blocks / 1 hidden,31.62277660168379,0.9660490163134622,0.03395098368653782,0.07786071455041542
2,3 blocks / 1 hidden,100,0.9878778912161127,0.01212210878388735,0.02605641092693727
2,3 blocks / 1 hidden,316.227766016838,0.9959951943343847,0.00400480566561534,0.008394131639543371
2,3 blocks / 1 hidden,1000,0.9987151718025005,0.001284828197499502,0.002670267163626112
2,3 blocks / 1 hidden,3162.277660168379,0.9995918199876648,0.0004081800123351921,0.0008460056691300913
2,3 blocks / 1 hidden,10000,0.9998707326309988,0.000129267369001223,0.0002676901728828581
2,3 blocks / 1 hidden,31622.77660168379,0.9999591030742132,4.089692578680737e-05,8.466704658414703e-05
2,3 blocks / 1 hidden,100000,0.9999870653557152,1.293464428477154e-05,2.677566947598791e-05
2,3 blocks / 1 hidden,316227.7660168379,0.9999959095162101,4.090483789948002e-06,8.467370294455264e-06
2,3 blocks / 1 hidden,1000000,0.9999987064564353,1.293543564712882e-06,2.677633845297977e-06
