case_index,case_id,sample_size,under_q25_percent,under_median_percent,under_q75_percent,regret_q25_percent,regret_median_percent,regret_q75_percent,failure_rate_percent,wilson_low_percent,wilson_high_percent
0,constant_preserving_state,4,27.72005066776057,34.00789924475024,44.35590631287955,23.81666392693659,32.4980572203001,50.72931072499168,100,88.64866068260314,100
0,constant_preserving_state,8,20.78277501930371,27.10674070651062,33.59541790396801,15.82188183310992,22.56654668623263,32.03646878182844,100,88.64866068260314,100
0,constant_preserving_state,16,18.24855982449626,21.24112444205628,25.24562930315851,12.56192908687829,15.72137762718354,21.95548141383701,100,88.64866068260314,100
0,constant_preserving_state,32,15.89974782196617,17.98777502628452,20.59421085994024,11.00409234953655,13.33296590239765,15.59012233895116,100,88.64866068260314,100
0,constant_preserving_state,64,11.40006848692597,14.22625880042413,16.11481054188228,6.731659726082029,9.613750421958311,12.08181624159157,100,88.64866068260314,100
0,constant_preserving_state,128,10.01631835744199,12.44456636985461,14.14929329233003,6.090394256338033,7.500042087101988,10.29258980218972,100,88.64866068260314,100
0,constant_preserving_state,256,8.229947649383755,9.457729249247027,10.79982265559328,4.755289146446162,5.735397891505012,7.34305885505141,100,88.64866068260314,100
1,shared_opcode,4,19.35525528263054,21.79767340786007,22.56707048900653,5.487889419485914,10.73770722702394,13.64247838388545,100,88.64866068260314,100
1,shared_opcode,8,13.04121623468793,16.8489974179048,20.67424426486926,3.348349041429721,6.774839193992788,12.76941994413185,100,88.64866068260314,100
1,shared_opcode,16,10.54800202365236,15.61450255902058,19.75736498686078,2.835160557687366,6.953276475083237,12.53172820519012,100,88.64866068260314,100
1,shared_opcode,32,8.323256221355297,11.1918757048194,15.75009436140528,2.290609458335263,4.891905460231428,8.310124372890071,100,88.64866068260314,100
1,shared_opcode,64,5.761417138835409,8.873024303308991,10.37317878501585,1.637116235395847,3.398488704977143,5.063323662280538,100,88.64866068260314,100
1,shared_opcode,128,4.690890783310514,5.508338798015203,7.715293240269992,0.3812781179341473,1.47169880296949,2.389028809207538,100,88.64866068260314,100
1,shared_opcode,256,3.224667405759346,4.3126297658458,4.983791906188977,0.2922485226916627,0.8537233166286851,1.439704749052345,100,88.64866068260314,100
