witness,label,strong_conductance,physical_over_canonical,relative_radius_gap,port_block_operator_distance
0,1 blocks / 1 hidden,10,0.8446478299230156,0.1553521700769844,0.1484718347766786
0,1 blocks / 1 hidden,31.62277660168379,0.9401776692894127,0.05982233071058724,0.05399961113270667
0,1 blocks / 1 hidden,100,0.9797404572154341,0.02025954278456584,0.01794021762939351
0,1 blocks / 1 hidden,316.227766016838,0.9934487683358517,0.006551231664148276,0.005765896102870034
0,1 blocks / 1 hidden,1000,0.9979135071197937,0.00208649288020636,0.001832821592176374
0,1 blocks / 1 hidden,3162.277660168379,0.9993387005082441,0.000661299491755821,0.0005805445644149602
0,1 blocks / 1 hidden,10000,0.9997907291264488,0.0002092708735511226,0.0001836800816180716
0,1 blocks / 1 hidden,31622.77660168379,0.9999338077664416,6.619223355838724e-05,5.809432595613115e-05
0,1 blocks / 1 hidden,100000,0.999979066680219,2.093331978102986e-05,1.837199781159548e-05
0,1 blocks / 1 hidden,316227.7660168379,0.9999933801532752,6.619846724759242e-06,5.809831447568654e-06
0,1 blocks / 1 hidden,1000000,0.9999979066056808,2.093394319234451e-06,1.837238310841844e-06
1,2 blocks / 1 hidden,10,0.9432943093521365,0.05670569064786346,0.06223971945451285
1,2 blocks / 1 hidden,31.62277660168379,0.9813666783075556,0.01863332169244433,0.02051259232882836
1,2 blocks / 1 hidden,100,0.9940354951062154,0.005964504893784688,0.006568080161345973
1,2 blocks / 1 hidden,316.227766016838,0.9981065752626505,0.001893424737349529,0.00208506850943182
1,2 blocks / 1 hidden,1000,0.9994005159516961,0.0005994840483039091,0.0006601594719519406
1,2 blocks / 1 hidden,3162.277660168379,0.9998103533671309,0.0001896466328691206,0.0002088409480009828
1,2 blocks / 1 hidden,10000,0.9999400211536238,5.997884637623775e-05,6.604932143577949e-05
1,2 blocks / 1 hidden,31622.77660168379,0.9999810322917027,1.896770829737655e-05,2.088743141612216e-05
1,2 blocks / 1 hidden,100000,0.9999940018099176,5.998190082398804e-06,6.605267465158689e-06
1,2 blocks / 1 hidden,316227.7660168379,0.999998103193746,1.896806253900878e-06,2.088798274965195e-06
1,2 blocks / 1 hidden,1000000,0.999999400175006,5.998249939925645e-07,6.605328290595562e-07
2,3 blocks / 1 hidden,10,0.9176296760045656,0.0823703239954344,0.2095409784393188
2,3 blocks / 1 hidden,31.62277660168379,0.9660490163134622,0.03395098368653782,0.07786071455041542
2,3 blocks / 1 hidden,100,0.9878778912161127,0.01212210878388735,0.02605641092693727
2,3 blocks / 1 hidden,316.227766016838,0.9959951943343847,0.00400480566561534,0.008394131639543371
2,3 blocks / 1 hidden,1000,0.9987151718025005,0.001284828197499502,0.002670267163626112
2,3 blocks / 1 hidden,3162.277660168379,0.9995918199876648,0.0004081800123351921,0.0008460056691300913
2,3 blocks / 1 hidden,10000,0.9998707326309988,0.000129267369001223,0.0002676901728828581
2,3 blocks / 1 hidden,31622.77660168379,0.9999591030742132,4.089692578680737e-05,8.466704658414703e-05
2,3 blocks / 1 hidden,100000,0.9999870653557152,1.293464428477154e-05,2.677566947598791e-05
2,3 blocks / 1 hidden,316227.7660168379,0.9999959095162101,4.090483789948002e-06,8.467370294455264e-06
2,3 blocks / 1 hidden,1000000,0.9999987064564353,1.293543564712882e-06,2.677633845297977e-06
