nodes,relative_error,solve_seconds,label
14,0.000459761802552575,3.600000036385609e-05,case_0
118,0.02109880964156357,4.11000000895001e-05,case_1
300,0.194979283669213,3.710000055434648e-05,case_2
1354,0.2292864782051083,9.619999946153257e-05,case_3
2869,0.2867700582164842,0.0001910000000862055,case_4
10000,0.0634675745796707,0.000654499999654945,case_5
