rounds,trunc_mse,neumann_mse,chebyshev_mse,trunc_byte_hop,neumann_byte_hop,chebyshev_byte_hop
0,0.5760260438175769,0.1116953023549554,0.09678542135675344,0,0,0
1,0.0468196774503991,0.09718489700864306,0.04903091780668389,22060,19840,19840
2,0.006769201972621593,0.08530806193402436,0.0227560677085362,98124,39680,39680
4,8.630506868308608e-05,0.06693677779727226,0.005949813747092721,426972,79360,79360
