x,rule,minimum,q25,median,q75,maximum
0,0-hop,1,1,1,1,1
1,1-hop,0.6793426958659364,0.7573567278759379,0.8131424153606145,0.8579829623587352,0.8626404801993205
2,Full port,0.5477225580576932,0.5773502692184561,0.6123724356999979,0.6708203937842797,0.7559289458115015
