h,hausdorff,risk_gap,candidates,vertices,certified_radius
0,1,0.9999999999996131,2,2,0
1,0.6666666666666666,0.6666666666664087,5,5,0.5773502691896257
2,0.5,0.4999999999998065,9,6,0.7071067811868241
4,0.3333333333333333,0.3333333333332043,20,8,0.8164965809277263
8,0.2,0.1999999999999226,54,12,0.8944271909999157
