witness,label,strong_conductance,physical_over_canonical,relative_radius_gap,port_block_operator_distance
0,1 blocks / 1 hidden,10,0.8446478299230156,0.1553521700769844,0.1484718347766786
0,1 blocks / 1 hidden,31.62277660168379,0.9401776692894127,0.05982233071058724,0.05399961113270667
0,1 blocks / 1 hidden,100,0.9797404572154341,0.02025954278456584,0.01794021762939351
0,1 blocks / 1 hidden,316.227766016838,0.9934487683358517,0.006551231664148276,0.005765896102870034
0,1 blocks / 1 hidden,1000,0.9979135071197937,0.00208649288020636,0.001832821592176374
0,1 blocks / 1 hidden,3162.277660168379,0.9993387005082441,0.000661299491755821,0.0005805445644149602
0,1 blocks / 1 hidden,10000,0.9997907291264488,0.0002092708735511226,0.0001836800816180716
0,1 blocks / 1 hidden,31622.77660168379,0.9999338077664416,6.619223355838724e-05,5.809432595613115e-05
0,1 blocks / 1 hidden,100000,0.999979066680219,2.093331978102986e-05,1.837199781159548e-05
0,1 blocks / 1 hidden,316227.7660168379,0.9999933801532752,6.619846724759242e-06,5.809831447568654e-06
0,1 blocks / 1 hidden,1000000,0.9999979066056808,2.093394319234451e-06,1.837238310841844e-06
