overhead_percent,fraction
0,0.01851851851851852
0,0.03703703703703703
0,0.05555555555555555
0,0.07407407407407407
0,0.09259259259259259
0,0.1111111111111111
0,0.1296296296296296
0,0.1481481481481481
0,0.1666666666666667
0,0.1851851851851852
0,0.2037037037037037
0,0.2222222222222222
0,0.2407407407407407
0,0.2592592592592592
0,0.2777777777777778
0,0.2962962962962963
0,0.3148148148148148
0,0.3333333333333333
0,0.3518518518518519
0,0.3703703703703703
0,0.3888888888888889
0,0.4074074074074074
0,0.4259259259259259
0,0.4444444444444444
0,0.462962962962963
0,0.4814814814814815
0,0.5
0,0.5185185185185185
0,0.5370370370370371
0,0.5555555555555556
1.807687333155172e-09,0.5740740740740741
2.411648658551258e-09,0.5925925925925926
3.63609142794985e-09,0.6111111111111112
5.841460648525754e-09,0.6296296296296297
7.285771985721112e-09,0.6481481481481481
7.558997872081363e-09,0.6666666666666666
0.4159125988658863,0.6851851851851852
0.4159126979395023,0.7037037037037037
0.4159127850172029,0.7222222222222222
0.4160611373696721,0.7407407407407407
0.4160611970806194,0.7592592592592593
0.4160611978439199,0.7777777777777778
0.4161071183579557,0.7962962962962963
0.4161071750797829,0.8148148148148148
0.4161072048697312,0.8333333333333334
5.61508113960012,0.8518518518518519
7.658788802142236,0.8703703703703703
7.680753968329057,0.8888888888888888
7.988767736068514,0.9074074074074074
8.243209182541555,0.9259259259259259
9.593227449840391,0.9444444444444444
10.16102629504176,0.9629629629629629
13.03565164696041,0.9814814814814815
17.74365531865474,1
