x,method,training,held_out,exact
0,Exact finite-h,0.953272346944014,1.019240422059973,1.088303689790562
1,Random sampling,0.8752733156569112,1.070305854386387,1.170690648666661
2,PSD contraction,0.9510042617425237,1.015933575958919,1.092846407202129
3,Endpoints only,1.008843376255214,1.088577068200029,1.144122795989274
